DESCRIPCIÓN DE LAS UNIDADES,Dólares de Estados Unidos por Euro,Yenes japoneses por Euro,Francos suizos por Euro,Libras esterlinas por Euro,Coronas checas por Euro,Coronas danesas por Euro,Forints húngaros por Euro,Zlotys polacos por Euro,Lei rumanos por Euro,Coronas suecas por Euro,Coronas noruegas por Euro,Liras turcas por Euro,Dólares australianos por Euro,Reales brasileños por Euro,Dólares canadienses por Euro,Yuans por Euro,Dólares de Hong Kong por Euro,Rupias indonesias por Euro,Rupias indias por euro,Wons surcoreanos por Euro,Pesos mejicanos por Euro,Dólares neozelandeses por Euro,Pesos filipinos por Euro,Dólares de Singapur por Euro
14 JUN 2016,"1,123 USD","118,980 JPY","1,083 CHF","0,795 GBP","27,048 CZK","7,436 DKK","313,960 HUF","4,433 PLN","4,524 RON","9,318 SEK","9,366 NOK","3,289 TRY","1,528 AUD","3,927 BRL","1,445 CAD","7,402 €","8,711 CNY","14.992,000 IDR","75,555 INR","1.324,260 KRW","21,317 MXN","1,602 NZD","51,986 PHP","1,523 SGD"
15 JUN 2016,"1,123 USD","119,290 JPY","1,082 CHF","0,792 GBP","27,073 CZK","7,436 DKK","313,860 HUF","4,412 PLN","4,536 RON","9,354 SEK","9,342 NOK","3,291 TRY","1,519 AUD","3,895 BRL","1,444 CAD","7,391 €","8,716 CNY","15.010,630 IDR","75,367 INR","1.316,080 KRW","21,199 MXN","1,597 NZD","52,032 PHP","1,522 SGD"
16 JUN 2016,"1,117 USD","116,650 JPY","1,081 CHF","0,790 GBP","27,067 CZK","7,436 DKK","315,150 HUF","4,449 PLN","4,539 RON","9,392 SEK","9,380 NOK","3,280 TRY","1,521 AUD","3,894 BRL","1,453 CAD","7,359 €","8,672 CNY","14.970,820 IDR","75,201 INR","1.315,790 KRW","21,185 MXN","1,590 NZD","51,899 PHP","1,512 SGD"
17 JUN 2016,"1,125 USD","117,340 JPY","1,082 CHF","0,788 GBP","27,069 CZK","7,436 DKK","314,260 HUF","4,446 PLN","4,536 RON","9,382 SEK","9,431 NOK","3,299 TRY","1,523 AUD","3,894 BRL","1,452 CAD","7,417 €","8,734 CNY","14.996,530 IDR","75,498 INR","1.318,220 KRW","21,247 MXN","1,596 NZD","52,258 PHP","1,519 SGD"
20 JUN 2016,"1,133 USD","118,570 JPY","1,088 CHF","0,774 GBP","27,063 CZK","7,436 DKK","312,920 HUF","4,393 PLN","4,539 RON","9,334 SEK","9,358 NOK","3,282 TRY","1,519 AUD","3,829 BRL","1,452 CAD","7,456 €","8,794 CNY","15.024,250 IDR","76,328 INR","1.312,290 KRW","21,089 MXN","1,594 NZD","52,434 PHP","1,523 SGD"
21 JUN 2016,"1,131 USD","118,390 JPY","1,085 CHF","0,768 GBP","27,064 CZK","7,436 DKK","314,080 HUF","4,399 PLN","4,541 RON","9,324 SEK","9,372 NOK","3,279 TRY","1,507 AUD","3,810 BRL","1,445 CAD","7,447 €","8,778 CNY","15.005,190 IDR","76,449 INR","1.304,050 KRW","21,004 MXN","1,580 NZD","52,379 PHP","1,517 SGD"
22 JUN 2016,"1,128 USD","118,010 JPY","1,083 CHF","0,768 GBP","27,071 CZK","7,438 DKK","314,420 HUF","4,379 PLN","4,526 RON","9,347 SEK","9,356 NOK","3,275 TRY","1,503 AUD","3,836 BRL","1,440 CAD","7,423 €","8,752 CNY","14.988,340 IDR","76,155 INR","1.297,620 KRW","21,005 MXN","1,573 NZD","52,434 PHP","1,511 SGD"
23 JUN 2016,"1,139 USD","120,380 JPY","1,088 CHF","0,766 GBP","27,062 CZK","7,440 DKK","314,280 HUF","4,357 PLN","4,511 RON","9,303 SEK","9,299 NOK","3,269 TRY","1,506 AUD","3,817 BRL","1,452 CAD","7,494 €","8,835 CNY","14.961,770 IDR","76,651 INR","1.304,470 KRW","20,831 MXN","1,576 NZD","52,879 PHP","1,525 SGD"
24 JUN 2016,"1,107 USD","113,230 JPY","1,081 CHF","0,808 GBP","27,103 CZK","7,437 DKK","317,900 HUF","4,455 PLN","4,535 RON","9,461 SEK","9,420 NOK","3,246 TRY","1,491 AUD","3,806 BRL","1,439 CAD","7,330 €","8,589 CNY","14.837,950 IDR","75,254 INR","1.296,890 KRW","20,881 MXN","1,561 NZD","51,947 PHP","1,497 SGD"
27 JUN 2016,"1,100 USD","111,800 JPY","1,074 CHF","0,834 GBP","27,151 CZK","7,437 DKK","318,350 HUF","4,462 PLN","4,516 RON","9,405 SEK","9,405 NOK","3,239 TRY","1,486 AUD","3,743 BRL","1,435 CAD","7,311 €","8,533 CNY","14.733,500 IDR","74,737 INR","1.302,910 KRW","20,964 MXN","1,557 NZD","51,984 PHP","1,496 SGD"
