DESCRIPCIÓN DE LAS UNIDADES,Dólares de Estados Unidos por Euro,Yenes japoneses por Euro,Francos suizos por Euro,Libras esterlinas por Euro,Coronas checas por Euro,Coronas danesas por Euro,Forints húngaros por Euro,Zlotys polacos por Euro,Lei rumanos por Euro,Coronas suecas por Euro,Coronas noruegas por Euro,Liras turcas por Euro,Dólares australianos por Euro,Reales brasileños por Euro,Dólares canadienses por Euro,Yuans por Euro,Dólares de Hong Kong por Euro,Rupias indonesias por Euro,Rupias indias por euro,Wons surcoreanos por Euro,Pesos mejicanos por Euro,Dólares neozelandeses por Euro,Pesos filipinos por Euro,Dólares de Singapur por Euro
18 AGO 2017,"1,174 USD","128,020 JPY","1,129 CHF","0,912 GBP","26,108 CZK","7,436 DKK","303,560 HUF","4,281 PLN","4,590 RON","9,537 SEK","9,318 NOK","4,138 TRY","1,483 AUD","3,719 BRL","1,486 CAD","7,833 €","9,183 CNY","15.689,330 IDR","75,307 INR","1.339,990 KRW","20,996 MXN","1,604 NZD","60,531 PHP","1,601 SGD"
21 AGO 2017,"1,176 USD","128,170 JPY","1,136 CHF","0,913 GBP","26,086 CZK","7,437 DKK","303,430 HUF","4,274 PLN","4,585 RON","9,517 SEK","9,290 NOK","4,124 TRY","1,483 AUD","3,704 BRL","1,482 CAD","7,846 €","9,202 CNY","15.703,290 IDR","75,439 INR","1.339,540 KRW","20,832 MXN","1,607 NZD","60,474 PHP","1,602 SGD"
22 AGO 2017,"1,177 USD","128,730 JPY","1,136 CHF","0,917 GBP","26,083 CZK","7,438 DKK","303,700 HUF","4,282 PLN","4,587 RON","9,539 SEK","9,302 NOK","4,117 TRY","1,489 AUD","3,710 BRL","1,481 CAD","7,843 €","9,213 CNY","15.706,050 IDR","75,452 INR","1.335,140 KRW","20,791 MXN","1,617 NZD","60,330 PHP","1,603 SGD"
23 AGO 2017,"1,180 USD","128,710 JPY","1,139 CHF","0,921 GBP","26,124 CZK","7,437 DKK","303,350 HUF","4,285 PLN","4,585 RON","9,546 SEK","9,313 NOK","4,134 TRY","1,494 AUD","3,731 BRL","1,485 CAD","7,858 €","9,234 CNY","15.751,670 IDR","75,608 INR","1.335,190 KRW","21,009 MXN","1,633 NZD","60,445 PHP","1,607 SGD"
24 AGO 2017,"1,181 USD","129,060 JPY","1,138 CHF","0,920 GBP","26,098 CZK","7,438 DKK","304,170 HUF","4,275 PLN","4,583 RON","9,512 SEK","9,259 NOK","4,108 TRY","1,495 AUD","3,711 BRL","1,478 CAD","7,865 €","9,239 CNY","15.749,200 IDR","75,597 INR","1.331,390 KRW","20,850 MXN","1,635 NZD","60,305 PHP","1,607 SGD"
25 AGO 2017,"1,181 USD","129,590 JPY","1,139 CHF","0,921 GBP","26,084 CZK","7,439 DKK","304,680 HUF","4,260 PLN","4,598 RON","9,505 SEK","9,228 NOK","4,108 TRY","1,492 AUD","3,705 BRL","1,477 CAD","7,860 €","9,237 CNY","15.758,370 IDR","75,598 INR","1.327,050 KRW","20,845 MXN","1,636 NZD","60,327 PHP","1,606 SGD"
28 AGO 2017,"1,193 USD","130,340 JPY","1,139 CHF","0,923 GBP","26,102 CZK","7,439 DKK","304,010 HUF","4,258 PLN","4,598 RON","9,516 SEK","9,262 NOK","4,106 TRY","1,501 AUD","3,757 BRL","1,487 CAD","7,898 €","9,329 CNY","15.903,180 IDR","76,207 INR","1.335,560 KRW","21,058 MXN","1,646 NZD","60,841 PHP","1,616 SGD"
29 AGO 2017,"1,205 USD","130,860 JPY","1,139 CHF","0,930 GBP","26,142 CZK","7,439 DKK","305,320 HUF","4,268 PLN","4,597 RON","9,536 SEK","9,292 NOK","4,147 TRY","1,511 AUD","3,811 BRL","1,504 CAD","7,947 €","9,427 CNY","16.085,280 IDR","77,134 INR","1.353,800 KRW","21,520 MXN","1,654 NZD","61,485 PHP","1,628 SGD"
30 AGO 2017,"1,192 USD","131,250 JPY","1,142 CHF","0,922 GBP","26,045 CZK","7,439 DKK","305,680 HUF","4,260 PLN","4,592 RON","9,510 SEK","9,285 NOK","4,124 TRY","1,502 AUD","3,777 BRL","1,496 CAD","7,856 €","9,326 CNY","15.903,690 IDR","76,293 INR","1.338,360 KRW","21,287 MXN","1,648 NZD","61,040 PHP","1,617 SGD"
31 AGO 2017,"1,183 USD","130,810 JPY","1,145 CHF","0,920 GBP","26,101 CZK","7,438 DKK","306,630 HUF","4,258 PLN","4,592 RON","9,482 SEK","9,279 NOK","4,106 TRY","1,502 AUD","3,741 BRL","1,497 CAD","7,806 €","9,253 CNY","15.782,100 IDR","75,600 INR","1.331,220 KRW","21,084 MXN","1,657 NZD","60,587 PHP","1,609 SGD"
01 SEP 2017,"1,192 USD","131,290 JPY","1,144 CHF","0,921 GBP","26,077 CZK","7,438 DKK","305,090 HUF","4,241 PLN","4,596 RON","9,478 SEK","9,256 NOK","4,098 TRY","1,502 AUD","3,742 BRL","1,483 CAD","7,819 €","9,327 CNY","15.875,380 IDR","76,328 INR","1.335,360 KRW","21,261 MXN","1,664 NZD","60,900 PHP","1,615 SGD"
04 SEP 2017,"1,191 USD","130,600 JPY","1,140 CHF","0,919 GBP","26,062 CZK","7,437 DKK","306,020 HUF","4,241 PLN","4,596 RON","9,473 SEK","9,293 NOK","4,083 TRY","1,496 AUD","3,738 BRL","1,477 CAD","7,773 €","9,315 CNY","15.869,550 IDR","76,240 INR","1.345,070 KRW","21,260 MXN","1,659 NZD","60,953 PHP","1,615 SGD"
05 SEP 2017,"1,189 USD","129,990 JPY","1,141 CHF","0,917 GBP","26,077 CZK","7,438 DKK","306,390 HUF","4,236 PLN","4,597 RON","9,469 SEK","9,279 NOK","4,095 TRY","1,490 AUD","3,707 BRL","1,473 CAD","7,787 €","9,304 CNY","15.854,130 IDR","76,248 INR","1.343,640 KRW","21,219 MXN","1,653 NZD","60,804 PHP","1,612 SGD"
06 SEP 2017,"1,193 USD","129,920 JPY","1,140 CHF","0,914 GBP","26,112 CZK","7,439 DKK","306,170 HUF","4,242 PLN","4,599 RON","9,501 SEK","9,277 NOK","4,105 TRY","1,496 AUD","3,715 BRL","1,479 CAD","7,785 €","9,336 CNY","15.902,830 IDR","76,493 INR","1.353,940 KRW","21,294 MXN","1,653 NZD","60,908 PHP","1,613 SGD"
07 SEP 2017,"1,197 USD","130,340 JPY","1,141 CHF","0,914 GBP","26,113 CZK","7,439 DKK","305,690 HUF","4,243 PLN","4,598 RON","9,526 SEK","9,294 NOK","4,089 TRY","1,493 AUD","3,710 BRL","1,459 CAD","7,770 €","9,355 CNY","15.922,830 IDR","76,633 INR","1.350,870 KRW","21,231 MXN","1,662 NZD","60,774 PHP","1,609 SGD"
08 SEP 2017,"1,206 USD","129,500 JPY","1,141 CHF","0,913 GBP","26,099 CZK","7,440 DKK","306,460 HUF","4,253 PLN","4,601 RON","9,539 SEK","9,309 NOK","4,119 TRY","1,488 AUD","3,726 BRL","1,458 CAD","7,793 €","9,416 CNY","15.874,850 IDR","76,925 INR","1.363,520 KRW","21,338 MXN","1,650 NZD","61,276 PHP","1,612 SGD"
11 SEP 2017,"1,200 USD","130,380 JPY","1,140 CHF","0,908 GBP","26,077 CZK","7,440 DKK","306,280 HUF","4,244 PLN","4,599 RON","9,571 SEK","9,371 NOK","4,078 TRY","1,492 AUD","3,706 BRL","1,454 CAD","7,833 €","9,373 CNY","15.791,050 IDR","76,674 INR","1.357,760 KRW","21,214 MXN","1,650 NZD","60,990 PHP","1,613 SGD"
12 SEP 2017,"1,193 USD","130,930 JPY","1,144 CHF","0,899 GBP","26,105 CZK","7,440 DKK","307,110 HUF","4,255 PLN","4,602 RON","9,536 SEK","9,359 NOK","4,095 TRY","1,485 AUD","3,712 BRL","1,448 CAD","7,802 €","9,324 CNY","15.751,560 IDR","76,439 INR","1.346,050 KRW","21,130 MXN","1,634 NZD","60,765 PHP","1,607 SGD"
13 SEP 2017,"1,198 USD","131,790 JPY","1,150 CHF","0,902 GBP","26,101 CZK","7,440 DKK","308,020 HUF","4,280 PLN","4,601 RON","9,548 SEK","9,398 NOK","4,123 TRY","1,491 AUD","3,752 BRL","1,454 CAD","7,825 €","9,359 CNY","15.815,270 IDR","76,666 INR","1.349,960 KRW","21,283 MXN","1,645 NZD","61,057 PHP","1,612 SGD"
14 SEP 2017,"1,189 USD","131,550 JPY","1,150 CHF","0,891 GBP","26,103 CZK","7,440 DKK","308,280 HUF","4,284 PLN","4,602 RON","9,535 SEK","9,395 NOK","4,113 TRY","1,488 AUD","3,730 BRL","1,450 CAD","7,792 €","9,284 CNY","15.767,830 IDR","76,210 INR","1.345,470 KRW","21,123 MXN","1,647 NZD","60,990 PHP","1,605 SGD"
15 SEP 2017,"1,196 USD","132,920 JPY","1,148 CHF","0,880 GBP","26,081 CZK","7,441 DKK","308,910 HUF","4,276 PLN","4,600 RON","9,506 SEK","9,335 NOK","4,114 TRY","1,491 AUD","3,736 BRL","1,452 CAD","7,830 €","9,351 CNY","15.859,010 IDR","76,663 INR","1.353,030 KRW","21,136 MXN","1,641 NZD","61,305 PHP","1,607 SGD"
18 SEP 2017,"1,195 USD","133,090 JPY","1,146 CHF","0,883 GBP","26,091 CZK","7,442 DKK","309,870 HUF","4,288 PLN","4,599 RON","9,515 SEK","9,341 NOK","4,134 TRY","1,495 AUD","3,720 BRL","1,458 CAD","7,852 €","9,339 CNY","15.837,070 IDR","76,632 INR","1.346,870 KRW","21,127 MXN","1,640 NZD","61,118 PHP","1,608 SGD"
19 SEP 2017,"1,197 USD","133,440 JPY","1,154 CHF","0,886 GBP","26,103 CZK","7,441 DKK","308,850 HUF","4,279 PLN","4,600 RON","9,526 SEK","9,342 NOK","4,176 TRY","1,497 AUD","3,743 BRL","1,471 CAD","7,883 €","9,343 CNY","15.886,840 IDR","77,017 INR","1.351,570 KRW","21,250 MXN","1,640 NZD","61,038 PHP","1,615 SGD"
20 SEP 2017,"1,201 USD","133,630 JPY","1,153 CHF","0,887 GBP","26,091 CZK","7,441 DKK","308,340 HUF","4,277 PLN","4,599 RON","9,534 SEK","9,344 NOK","4,164 TRY","1,489 AUD","3,758 BRL","1,470 CAD","7,895 €","9,367 CNY","15.945,900 IDR","77,197 INR","1.353,440 KRW","21,315 MXN","1,628 NZD","61,117 PHP","1,613 SGD"
21 SEP 2017,"1,191 USD","133,860 JPY","1,159 CHF","0,882 GBP","26,083 CZK","7,441 DKK","310,610 HUF","4,281 PLN","4,599 RON","9,514 SEK","9,303 NOK","4,178 TRY","1,500 AUD","3,735 BRL","1,471 CAD","7,848 €","9,291 CNY","15.889,600 IDR","77,150 INR","1.349,470 KRW","21,225 MXN","1,627 NZD","60,739 PHP","1,610 SGD"
22 SEP 2017,"1,196 USD","134,010 JPY","1,159 CHF","0,882 GBP","26,046 CZK","7,441 DKK","309,730 HUF","4,267 PLN","4,597 RON","9,536 SEK","9,319 NOK","4,180 TRY","1,501 AUD","3,746 BRL","1,468 CAD","7,881 €","9,341 CNY","15.908,130 IDR","77,501 INR","1.352,780 KRW","21,291 MXN","1,634 NZD","60,532 PHP","1,609 SGD"
25 SEP 2017,"1,187 USD","133,190 JPY","1,156 CHF","0,879 GBP","26,033 CZK","7,440 DKK","310,250 HUF","4,268 PLN","4,599 RON","9,533 SEK","9,273 NOK","4,180 TRY","1,492 AUD","3,713 BRL","1,463 CAD","7,860 €","9,274 CNY","15.803,370 IDR","77,264 INR","1.343,330 KRW","21,128 MXN","1,630 NZD","60,154 PHP","1,603 SGD"
26 SEP 2017,"1,179 USD","131,990 JPY","1,145 CHF","0,878 GBP","26,056 CZK","7,440 DKK","310,770 HUF","4,282 PLN","4,601 RON","9,547 SEK","9,284 NOK","4,174 TRY","1,494 AUD","3,730 BRL","1,461 CAD","7,819 €","9,208 CNY","15.785,150 IDR","77,194 INR","1.341,550 KRW","21,183 MXN","1,637 NZD","60,018 PHP","1,597 SGD"
27 SEP 2017,"1,174 USD","132,600 JPY","1,145 CHF","0,876 GBP","26,045 CZK","7,441 DKK","311,150 HUF","4,303 PLN","4,599 RON","9,589 SEK","9,336 NOK","4,190 TRY","1,495 AUD","3,736 BRL","1,455 CAD","7,798 €","9,171 CNY","15.779,900 IDR","77,153 INR","1.341,100 KRW","21,244 MXN","1,631 NZD","59,890 PHP","1,596 SGD"
28 SEP 2017,"1,178 USD","132,560 JPY","1,146 CHF","0,876 GBP","26,041 CZK","7,440 DKK","311,060 HUF","4,312 PLN","4,600 RON","9,580 SEK","9,358 NOK","4,199 TRY","1,505 AUD","3,748 BRL","1,468 CAD","7,844 €","9,198 CNY","15.892,060 IDR","77,115 INR","1.350,150 KRW","21,396 MXN","1,636 NZD","59,998 PHP","1,601 SGD"
29 SEP 2017,"1,181 USD","132,820 JPY","1,146 CHF","0,882 GBP","25,981 CZK","7,442 DKK","310,670 HUF","4,304 PLN","4,599 RON","9,649 SEK","9,413 NOK","4,201 TRY","1,508 AUD","3,764 BRL","1,469 CAD","7,853 €","9,221 CNY","15.888,510 IDR","77,069 INR","1.351,830 KRW","21,461 MXN","1,635 NZD","60,050 PHP","1,603 SGD"
02 OCT 2017,"1,174 USD","132,500 JPY","1,140 CHF","0,884 GBP","25,995 CZK","7,442 DKK","311,440 HUF","4,313 PLN","4,588 RON","9,606 SEK","9,377 NOK","4,207 TRY","1,504 AUD","3,727 BRL","1,469 CAD","7,814 €","9,174 CNY","15.933,080 IDR","76,697 INR","1.345,920 KRW","21,513 MXN","1,634 NZD","60,028 PHP","1,600 SGD"
03 OCT 2017,"1,175 USD","132,770 JPY","1,145 CHF","0,888 GBP","25,932 CZK","7,442 DKK","312,050 HUF","4,310 PLN","4,591 RON","9,568 SEK","9,389 NOK","4,212 TRY","1,504 AUD","3,709 BRL","1,469 CAD","7,807 €","9,181 CNY","15.916,500 IDR","76,987 INR","1.344,940 KRW","21,469 MXN","1,637 NZD","60,117 PHP","1,602 SGD"
04 OCT 2017,"1,179 USD","132,470 JPY","1,146 CHF","0,888 GBP","25,886 CZK","7,443 DKK","311,200 HUF","4,297 PLN","4,581 RON","9,543 SEK","9,353 NOK","4,202 TRY","1,499 AUD","3,693 BRL","1,468 CAD","7,816 €","9,201 CNY","15.857,610 IDR","76,641 INR","1.342,670 KRW","21,387 MXN","1,640 NZD","60,071 PHP","1,602 SGD"
05 OCT 2017,"1,174 USD","132,050 JPY","1,147 CHF","0,892 GBP","25,837 CZK","7,442 DKK","311,420 HUF","4,300 PLN","4,575 RON","9,520 SEK","9,350 NOK","4,191 TRY","1,502 AUD","3,677 BRL","1,466 CAD","7,811 €","9,170 CNY","15.803,150 IDR","76,497 INR","1.337,650 KRW","21,411 MXN","1,641 NZD","59,949 PHP","1,600 SGD"
06 OCT 2017,"1,171 USD","132,230 JPY","1,147 CHF","0,895 GBP","25,816 CZK","7,443 DKK","311,360 HUF","4,304 PLN","4,577 RON","9,542 SEK","9,372 NOK","4,235 TRY","1,506 AUD","3,700 BRL","1,472 CAD","7,789 €","9,139 CNY","15.819,670 IDR","76,544 INR","1.337,120 KRW","21,655 MXN","1,651 NZD","59,977 PHP","1,600 SGD"
09 OCT 2017,"1,175 USD","132,360 JPY","1,150 CHF","0,892 GBP","25,893 CZK","7,443 DKK","312,320 HUF","4,308 PLN","4,575 RON","9,535 SEK","9,379 NOK","4,364 TRY","1,514 AUD","3,717 BRL","1,473 CAD","7,779 €","9,169 CNY","15.897,040 IDR","76,763 INR","1.343,110 KRW","21,884 MXN","1,659 NZD","60,189 PHP","1,601 SGD"
10 OCT 2017,"1,180 USD","132,550 JPY","1,152 CHF","0,894 GBP","25,900 CZK","7,443 DKK","310,650 HUF","4,293 PLN","4,575 RON","9,527 SEK","9,375 NOK","4,339 TRY","1,516 AUD","3,738 BRL","1,475 CAD","7,761 €","9,207 CNY","15.912,970 IDR","76,972 INR","1.336,250 KRW","21,909 MXN","1,669 NZD","60,728 PHP","1,600 SGD"
11 OCT 2017,"1,183 USD","132,720 JPY","1,152 CHF","0,897 GBP","25,879 CZK","7,443 DKK","309,930 HUF","4,285 PLN","4,587 RON","9,531 SEK","9,379 NOK","4,334 TRY","1,519 AUD","3,752 BRL","1,480 CAD","7,799 €","9,234 CNY","15.997,950 IDR","77,066 INR","1.339,100 KRW","22,217 MXN","1,672 NZD","60,863 PHP","1,604 SGD"
12 OCT 2017,"1,186 USD","133,120 JPY","1,155 CHF","0,902 GBP","25,891 CZK","7,444 DKK","309,180 HUF","4,273 PLN","4,592 RON","9,588 SEK","9,360 NOK","4,343 TRY","1,518 AUD","3,765 BRL","1,479 CAD","7,811 €","9,257 CNY","16.016,270 IDR","77,100 INR","1.341,860 KRW","22,211 MXN","1,668 NZD","61,101 PHP","1,606 SGD"
13 OCT 2017,"1,181 USD","132,490 JPY","1,153 CHF","0,890 GBP","25,813 CZK","7,444 DKK","308,640 HUF","4,256 PLN","4,587 RON","9,605 SEK","9,339 NOK","4,323 TRY","1,508 AUD","3,752 BRL","1,476 CAD","7,783 €","9,221 CNY","15.938,780 IDR","76,713 INR","1.333,880 KRW","22,388 MXN","1,654 NZD","60,731 PHP","1,601 SGD"
16 OCT 2017,"1,180 USD","131,990 JPY","1,151 CHF","0,888 GBP","25,770 CZK","7,444 DKK","307,530 HUF","4,238 PLN","4,584 RON","9,589 SEK","9,313 NOK","4,298 TRY","1,500 AUD","3,730 BRL","1,480 CAD","7,778 €","9,217 CNY","15.913,390 IDR","76,416 INR","1.330,090 KRW","22,493 MXN","1,642 NZD","60,499 PHP","1,596 SGD"
17 OCT 2017,"1,176 USD","131,940 JPY","1,150 CHF","0,891 GBP","25,733 CZK","7,444 DKK","307,350 HUF","4,230 PLN","4,580 RON","9,581 SEK","9,326 NOK","4,305 TRY","1,499 AUD","3,736 BRL","1,474 CAD","7,785 €","9,181 CNY","15.880,120 IDR","76,470 INR","1.328,140 KRW","22,433 MXN","1,638 NZD","60,368 PHP","1,595 SGD"
18 OCT 2017,"1,175 USD","132,620 JPY","1,155 CHF","0,893 GBP","25,705 CZK","7,444 DKK","308,270 HUF","4,228 PLN","4,588 RON","9,595 SEK","9,358 NOK","4,323 TRY","1,501 AUD","3,720 BRL","1,472 CAD","7,787 €","9,174 CNY","15.879,950 IDR","76,431 INR","1.329,280 KRW","22,131 MXN","1,649 NZD","60,479 PHP","1,596 SGD"
19 OCT 2017,"1,183 USD","133,180 JPY","1,154 CHF","0,898 GBP","25,725 CZK","7,444 DKK","308,510 HUF","4,239 PLN","4,596 RON","9,645 SEK","9,419 NOK","4,332 TRY","1,503 AUD","3,756 BRL","1,474 CAD","7,831 €","9,233 CNY","15.993,650 IDR","76,954 INR","1.339,160 KRW","22,272 MXN","1,686 NZD","60,863 PHP","1,606 SGD"
20 OCT 2017,"1,182 USD","133,750 JPY","1,160 CHF","0,896 GBP","25,690 CZK","7,444 DKK","308,130 HUF","4,236 PLN","4,597 RON","9,645 SEK","9,415 NOK","4,329 TRY","1,506 AUD","3,752 BRL","1,477 CAD","7,822 €","9,222 CNY","15.966,120 IDR","76,829 INR","1.336,070 KRW","22,328 MXN","1,689 NZD","60,865 PHP","1,605 SGD"
23 OCT 2017,"1,174 USD","133,590 JPY","1,158 CHF","0,891 GBP","25,641 CZK","7,444 DKK","308,060 HUF","4,227 PLN","4,600 RON","9,644 SEK","9,388 NOK","4,339 TRY","1,502 AUD","3,749 BRL","1,484 CAD","7,796 €","9,161 CNY","15.888,920 IDR","76,337 INR","1.326,400 KRW","22,292 MXN","1,684 NZD","60,458 PHP","1,600 SGD"
24 OCT 2017,"1,176 USD","133,950 JPY","1,161 CHF","0,893 GBP","25,583 CZK","7,443 DKK","308,530 HUF","4,240 PLN","4,601 RON","9,648 SEK","9,388 NOK","4,375 TRY","1,512 AUD","3,802 BRL","1,488 CAD","7,802 €","9,180 CNY","15.937,330 IDR","76,579 INR","1.327,810 KRW","22,484 MXN","1,701 NZD","60,801 PHP","1,602 SGD"
25 OCT 2017,"1,179 USD","134,410 JPY","1,169 CHF","0,889 GBP","25,589 CZK","7,443 DKK","310,160 HUF","4,236 PLN","4,598 RON","9,686 SEK","9,438 NOK","4,397 TRY","1,528 AUD","3,813 BRL","1,496 CAD","7,832 €","9,197 CNY","15.994,600 IDR","76,514 INR","1.325,380 KRW","22,603 MXN","1,712 NZD","61,039 PHP","1,605 SGD"
26 OCT 2017,"1,175 USD","133,750 JPY","1,168 CHF","0,890 GBP","25,589 CZK","7,443 DKK","310,320 HUF","4,235 PLN","4,598 RON","9,722 SEK","9,487 NOK","4,434 TRY","1,525 AUD","3,803 BRL","1,504 CAD","7,800 €","9,170 CNY","15.981,730 IDR","76,230 INR","1.320,410 KRW","22,368 MXN","1,712 NZD","60,939 PHP","1,601 SGD"
27 OCT 2017,"1,161 USD","132,520 JPY","1,163 CHF","0,886 GBP","25,673 CZK","7,441 DKK","311,230 HUF","4,246 PLN","4,601 RON","9,739 SEK","9,535 NOK","4,436 TRY","1,520 AUD","3,829 BRL","1,496 CAD","7,723 €","9,056 CNY","15.818,760 IDR","75,502 INR","1.309,390 KRW","22,351 MXN","1,698 NZD","60,174 PHP","1,590 SGD"
30 OCT 2017,"1,161 USD","131,830 JPY","1,160 CHF","0,880 GBP","25,645 CZK","7,441 DKK","311,010 HUF","4,243 PLN","4,599 RON","9,709 SEK","9,484 NOK","4,385 TRY","1,515 AUD","3,779 BRL","1,492 CAD","7,717 €","9,058 CNY","15.762,750 IDR","75,356 INR","1.306,010 KRW","22,176 MXN","1,694 NZD","60,079 PHP","1,584 SGD"
31 OCT 2017,"1,164 USD","132,000 JPY","1,162 CHF","0,879 GBP","25,669 CZK","7,441 DKK","311,640 HUF","4,244 PLN","4,601 RON","9,742 SEK","9,524 NOK","4,416 TRY","1,521 AUD","3,806 BRL","1,500 CAD","7,718 €","9,077 CNY","15.786,950 IDR","75,356 INR","1.301,500 KRW","22,296 MXN","1,701 NZD","60,045 PHP","1,586 SGD"
01 NOV 2017,"1,161 USD","132,600 JPY","1,164 CHF","0,874 GBP","25,557 CZK","7,442 DKK","311,750 HUF","4,234 PLN","4,603 RON","9,754 SEK","9,461 NOK","4,439 TRY","1,514 AUD","3,815 BRL","1,499 CAD","7,677 €","9,059 CNY","15.773,740 IDR","75,013 INR","1.291,510 KRW","22,277 MXN","1,687 NZD","60,007 PHP","1,581 SGD"
02 NOV 2017,"1,165 USD","132,900 JPY","1,165 CHF","0,887 GBP","25,535 CZK","7,442 DKK","310,900 HUF","4,238 PLN","4,599 RON","9,762 SEK","9,484 NOK","4,452 TRY","1,512 AUD","3,805 BRL","1,496 CAD","7,701 €","9,085 CNY","15.753,360 IDR","75,229 INR","1.294,940 KRW","22,232 MXN","1,687 NZD","59,936 PHP","1,584 SGD"
03 NOV 2017,"1,166 USD","132,820 JPY","1,164 CHF","0,889 GBP","25,652 CZK","7,442 DKK","310,290 HUF","4,238 PLN","4,598 RON","9,791 SEK","9,484 NOK","4,493 TRY","1,518 AUD","3,801 BRL","1,483 CAD","7,720 €","9,095 CNY","15.729,040 IDR","75,214 INR","1.298,740 KRW","22,142 MXN","1,680 NZD","59,624 PHP","1,585 SGD"
06 NOV 2017,"1,159 USD","132,290 JPY","1,159 CHF","0,884 GBP","25,612 CZK","7,442 DKK","311,150 HUF","4,241 PLN","4,590 RON","9,768 SEK","9,438 NOK","4,482 TRY","1,512 AUD","3,817 BRL","1,479 CAD","7,689 €","9,044 CNY","15.665,040 IDR","74,956 INR","1.288,850 KRW","22,140 MXN","1,680 NZD","59,220 PHP","1,582 SGD"
07 NOV 2017,"1,156 USD","132,030 JPY","1,156 CHF","0,880 GBP","25,591 CZK","7,442 DKK","310,990 HUF","4,240 PLN","4,595 RON","9,744 SEK","9,454 NOK","4,467 TRY","1,511 AUD","3,782 BRL","1,476 CAD","7,675 €","9,022 CNY","15.640,750 IDR","75,147 INR","1.285,170 KRW","22,071 MXN","1,672 NZD","59,426 PHP","1,577 SGD"
08 NOV 2017,"1,159 USD","131,540 JPY","1,158 CHF","0,884 GBP","25,560 CZK","7,443 DKK","311,850 HUF","4,234 PLN","4,628 RON","9,729 SEK","9,473 NOK","4,505 TRY","1,509 AUD","3,766 BRL","1,475 CAD","7,684 €","9,036 CNY","15.667,360 IDR","75,321 INR","1.290,330 KRW","22,102 MXN","1,672 NZD","59,388 PHP","1,579 SGD"
09 NOV 2017,"1,163 USD","131,750 JPY","1,159 CHF","0,886 GBP","25,528 CZK","7,442 DKK","312,080 HUF","4,235 PLN","4,640 RON","9,736 SEK","9,454 NOK","4,496 TRY","1,514 AUD","3,776 BRL","1,478 CAD","7,719 €","9,070 CNY","15.729,570 IDR","75,560 INR","1.299,910 KRW","22,242 MXN","1,672 NZD","59,597 PHP","1,582 SGD"
10 NOV 2017,"1,165 USD","132,080 JPY","1,159 CHF","0,884 GBP","25,543 CZK","7,442 DKK","312,000 HUF","4,231 PLN","4,653 RON","9,743 SEK","9,456 NOK","4,510 TRY","1,520 AUD","3,808 BRL","1,477 CAD","7,741 €","9,093 CNY","15.785,340 IDR","75,940 INR","1.304,460 KRW","22,224 MXN","1,678 NZD","59,713 PHP","1,585 SGD"
13 NOV 2017,"1,166 USD","132,070 JPY","1,159 CHF","0,890 GBP","25,567 CZK","7,442 DKK","312,040 HUF","4,235 PLN","4,656 RON","9,771 SEK","9,491 NOK","4,532 TRY","1,526 AUD","3,836 BRL","1,481 CAD","7,741 €","9,091 CNY","15.810,860 IDR","76,291 INR","1.305,010 KRW","22,348 MXN","1,688 NZD","59,724 PHP","1,587 SGD"
14 NOV 2017,"1,175 USD","133,290 JPY","1,164 CHF","0,896 GBP","25,566 CZK","7,441 DKK","311,970 HUF","4,238 PLN","4,649 RON","9,891 SEK","9,592 NOK","4,548 TRY","1,536 AUD","3,849 BRL","1,493 CAD","7,795 €","9,165 CNY","15.918,590 IDR","76,815 INR","1.309,460 KRW","22,427 MXN","1,709 NZD","60,070 PHP","1,598 SGD"
15 NOV 2017,"1,184 USD","133,450 JPY","1,168 CHF","0,899 GBP","25,669 CZK","7,443 DKK","312,110 HUF","4,247 PLN","4,635 RON","9,973 SEK","9,751 NOK","4,598 TRY","1,558 AUD","3,849 BRL","1,510 CAD","7,840 €","9,244 CNY","16.025,440 IDR","77,215 INR","1.306,210 KRW","22,689 MXN","1,715 NZD","60,177 PHP","1,605 SGD"
16 NOV 2017,"1,177 USD","133,120 JPY","1,169 CHF","0,892 GBP","25,559 CZK","7,442 DKK","312,520 HUF","4,234 PLN","4,639 RON","9,887 SEK","9,655 NOK","4,547 TRY","1,551 AUD","3,858 BRL","1,503 CAD","7,807 €","9,192 CNY","15.919,100 IDR","76,891 INR","1.291,590 KRW","22,532 MXN","1,720 NZD","59,786 PHP","1,597 SGD"
17 NOV 2017,"1,180 USD","132,820 JPY","1,170 CHF","0,894 GBP","25,588 CZK","7,441 DKK","311,580 HUF","4,234 PLN","4,647 RON","9,944 SEK","9,716 NOK","4,585 TRY","1,563 AUD","3,866 BRL","1,505 CAD","7,824 €","9,214 CNY","15.955,690 IDR","76,682 INR","1.293,090 KRW","22,460 MXN","1,737 NZD","59,952 PHP","1,600 SGD"
20 NOV 2017,"1,178 USD","132,100 JPY","1,168 CHF","0,889 GBP","25,568 CZK","7,441 DKK","312,440 HUF","4,231 PLN","4,651 RON","9,959 SEK","9,730 NOK","4,621 TRY","1,559 AUD","3,839 BRL","1,507 CAD","7,816 €","9,204 CNY","15.932,620 IDR","76,698 INR","1.291,100 KRW","22,349 MXN","1,724 NZD","59,761 PHP","1,597 SGD"
